FinancialYear,AgeGroup,patient_rate_per_1000
2014-15,12-17 years,91
2014-15,18-24 years,110
2014-15,25-34 years,112
2014-15,35-44 years,122
2014-15,45-54 years,107
2014-15,55-64 years,86
2015-16,12-17 years,101
2015-16,18-24 years,122
2015-16,25-34 years,122
2015-16,35-44 years,130
2015-16,45-54 years,114
2015-16,55-64 years,91
2016-17,12-17 years,107
2016-17,18-24 years,129
2016-17,25-34 years,128
2016-17,35-44 years,134
2016-17,45-54 years,118
2016-17,55-64 years,95
2017-18,12-17 years,115
2017-18,18-24 years,135
2017-18,25-34 years,133
2017-18,35-44 years,138
2017-18,45-54 years,122
2017-18,55-64 years,99
2018-19,12-17 years,122
2018-19,18-24 years,144
2018-19,25-34 years,139
2018-19,35-44 years,141
2018-19,45-54 years,125
2018-19,55-64 years,101
2019-20,12-17 years,125
2019-20,18-24 years,155
2019-20,25-34 years,146
2019-20,35-44 years,141
2019-20,45-54 years,125
2019-20,55-64 years,99
2020-21,12-17 years,143
2020-21,18-24 years,178
2020-21,25-34 years,159
2020-21,35-44 years,144
2020-21,45-54 years,126
2020-21,55-64 years,99
2021-22,12-17 years,133
2021-22,18-24 years,179
2021-22,25-34 years,159
2021-22,35-44 years,138
2021-22,45-54 years,118
2021-22,55-64 years,93
2022-23,12-17 years,126
2022-23,18-24 years,160
2022-23,25-34 years,152
2022-23,35-44 years,134
2022-23,45-54 years,114
2022-23,55-64 years,90
2023-24,12-17 years,114
2023-24,18-24 years,145
2023-24,25-34 years,147
2023-24,35-44 years,134
2023-24,45-54 years,114
2023-24,55-64 years,90