year,series,index
2014-15,Medicare patients,100.0
2014-15,ED presentations,100.0
2015-16,Medicare patients,109.3
2015-16,ED presentations,108.9
2016-17,Medicare patients,116.1
2016-17,ED presentations,108.7
2017-18,Medicare patients,122.7
2017-18,ED presentations,112.6
2018-19,Medicare patients,128.9
2018-19,ED presentations,119.0
2019-20,Medicare patients,132.1
2019-20,ED presentations,121.8
2020-21,Medicare patients,138.9
2020-21,ED presentations,121.5
2021-22,Medicare patients,133.9
2021-22,ED presentations,109.9
2022-23,Medicare patients,131.4
2022-23,ED presentations,112.8
2023-24,Medicare patients,131.3
2023-24,ED presentations,121.7