FinancialYear,ProviderType,patients
2014-15,Psychiatrists,362079
2014-15,General practitioners,1672647
2014-15,Clinical psychologists,409538
2014-15,Other psychologists,558902
2014-15,Other allied health providers,71665
2015-16,Psychiatrists,376240
2015-16,General practitioners,1848948
2015-16,Clinical psychologists,450449
2015-16,Other psychologists,620498
2015-16,Other allied health providers,82028
2016-17,Psychiatrists,386268
2016-17,General practitioners,1971130
2016-17,Clinical psychologists,483369
2016-17,Other psychologists,653709
2016-17,Other allied health providers,91803
2017-18,Psychiatrists,400038
2017-18,General practitioners,2087675
2017-18,Clinical psychologists,514832
2017-18,Other psychologists,697182
2017-18,Other allied health providers,100364
2018-19,Psychiatrists,414054
2018-19,General practitioners,2200910
2018-19,Clinical psychologists,539566
2018-19,Other psychologists,728981
2018-19,Other allied health providers,109536
2019-20,Psychiatrists,431495
2019-20,General practitioners,2252555
2019-20,Clinical psychologists,563571
2019-20,Other psychologists,735553
2019-20,Other allied health providers,114680
2020-21,Psychiatrists,469045
2020-21,General practitioners,2393722
2020-21,Clinical psychologists,570211
2020-21,Other psychologists,765809
2020-21,Other allied health providers,125251
2021-22,Psychiatrists,492386
2021-22,General practitioners,2225175
2021-22,Clinical psychologists,534507
2021-22,Other psychologists,735783
2021-22,Other allied health providers,124079
2022-23,Psychiatrists,516474
2022-23,General practitioners,2166207
2022-23,Clinical psychologists,528710
2022-23,Other psychologists,715566
2022-23,Other allied health providers,119196
2023-24,Psychiatrists,573958
2023-24,General practitioners,2113296
2023-24,Clinical psychologists,545010
2023-24,Other psychologists,723855
2023-24,Other allied health providers,116255