Quarter,ProviderType,patients
July to September,Clinical psychologists,288503
July to September,General practitioners,712412
July to September,Other allied health providers,55809
July to September,Other psychologists,355130
July to September,Psychiatrists,295679
October to December,Clinical psychologists,260361
October to December,General practitioners,632173
October to December,Other allied health providers,51858
October to December,Other psychologists,325089
October to December,Psychiatrists,296403
January to March,Clinical psychologists,276364
January to March,General practitioners,727933
January to March,Other allied health providers,51187
January to March,Other psychologists,325119
January to March,Psychiatrists,294903
April to June,Clinical psychologists,296910
April to June,General practitioners,689685
April to June,Other allied health providers,55277
April to June,Other psychologists,355469
April to June,Psychiatrists,304745